,file_info,pred_onehot,pred_logits,gt,det_acc,det_pred
0,rgb/freight_car/00822_203_56_270_190_4_4.jpg,0,"[0.9793373346328735, 0.020662697032094002]",1,True,1
1,rgb/freight_car/00987_495_39_602_101_0_4.jpg,1,"[0.052779968827962875, 0.9472200274467468]",1,False,-1
2,rgb/freight_car/01222_129_458_363_512_-1_4.jpg,0,"[0.9863344430923462, 0.013665528036653996]",1,False,-1
3,rgb/freight_car/01385_313_227_337_279_1_4.jpg,1,"[0.006372597999870777, 0.9936274290084839]",1,False,0
4,rgb/freight_car/00139_189_364_242_491_4_4.jpg,1,"[0.27621492743492126, 0.7237850427627563]",1,True,1
5,rgb/freight_car/00987_497_41_602_101_-1_4.jpg,1,"[0.02637595869600773, 0.9736239910125732]",1,False,-1
6,rgb/freight_car/01153_116_0_243_131_1_4.jpg,0,"[0.984674334526062, 0.015325715765357018]",1,False,0
7,rgb/freight_car/00974_0_257_66_309_-1_4.jpg,1,"[0.020355431362986565, 0.9796445369720459]",1,False,-1
8,rgb/freight_car/01222_425_96_624_189_-1_4.jpg,0,"[0.7427234649658203, 0.2572764754295349]",1,False,-1
9,rgb/freight_car/01411_104_294_141_377_4_4.jpg,1,"[0.04030943661928177, 0.9596905708312988]",1,True,1
10,rgb/freight_car/00987_526_336_638_397_0_4.jpg,1,"[0.1185942068696022, 0.8814058303833008]",1,False,-1
11,rgb/freight_car/01153_445_431_569_512_-1_4.jpg,0,"[0.9228585362434387, 0.0771414265036583]",1,False,-1
12,rgb/freight_car/01340_212_121_471_411_4_4.jpg,1,"[0.3047970235347748, 0.6952030062675476]",1,True,1
13,rgb/freight_car/01315_160_291_489_494_1_4.jpg,1,"[0.28844738006591797, 0.711552619934082]",1,False,0
14,rgb/freight_car/00925_413_486_458_512_-1_4.jpg,1,"[0.48086419701576233, 0.5191357731819153]",1,False,-1
15,rgb/freight_car/00987_429_52_534_116_-1_4.jpg,1,"[0.0274844728410244, 0.9725155830383301]",1,False,-1
16,rgb/freight_car/00925_355_364_402_429_4_4.jpg,1,"[0.022276245057582855, 0.9777237772941589]",1,True,1
17,rgb/freight_car/00021_569_104_608_195_1_4.jpg,1,"[0.07694775611162186, 0.923052191734314]",1,False,0
18,rgb/freight_car/00242_574_115_640_196_4_4.jpg,1,"[0.41704246401786804, 0.5829575657844543]",1,True,1
19,rgb/freight_car/01039_278_235_318_413_1_4.jpg,0,"[0.9873018264770508, 0.012698144651949406]",1,False,0
20,rgb/freight_car/01382_533_0_640_172_4_4.jpg,1,"[0.0487392283976078, 0.9512607455253601]",1,True,1
21,rgb/freight_car/01010_46_0_96_95_1_4.jpg,1,"[0.2344893515110016, 0.765510618686676]",1,False,0
22,rgb/freight_car/01304_103_183_306_298_4_4.jpg,1,"[0.12691761553287506, 0.8730823993682861]",1,True,1
23,rgb/freight_car/00968_294_46_361_215_4_4.jpg,1,"[0.02237260527908802, 0.9776273965835571]",1,True,1
24,rgb/freight_car/01222_240_287_487_399_1_4.jpg,0,"[0.9401805996894836, 0.05981944501399994]",1,False,0
25,rgb/freight_car/01340_20_113_227_422_4_4.jpg,1,"[0.1528622955083847, 0.8471376895904541]",1,True,1
26,rgb/freight_car/00810_41_11_361_140_4_4.jpg,1,"[0.11106687784194946, 0.8889331817626953]",1,True,1
27,rgb/freight_car/00243_459_329_563_389_4_4.jpg,1,"[0.2770872414112091, 0.7229127287864685]",1,True,1
